Location,TimeFrame,DataFormat,Data
Bath,2006,Percent,0.71
Bath,2007,Percent,0.69
Bath,2008,Percent,0.73
Bath,2009,Percent,0.71
Bell,2004,Number,216
Bell,2005,Number,222
Bell,2006,Number,261
Bell,2007,Number,250
Bell,2008,Number,238
Bell,2009,Number,236
Bell,2004,Percent,0.58
Bell,2005,Percent,0.63
Bell,2006,Percent,0.67
Bell,2007,Percent,0.66
Bell,2008,Percent,0.65
Bell,2009,Percent,0.66
Boone,2004,Number,1256
Boone,2005,Number,1241
Boone,2006,Number,1072
Boone,2007,Number,992
Boone,2008,Number,947
Boone,2009,Number,897
Boone,2004,Percent,0.79
Boone,2005,Percent,0.79
Boone,2006,Percent,0.69
Boone,2007,Percent,0.63
Boone,2008,Percent,0.65
Boone,2009,Percent,0.65
Bourbon,2004,Number,179
Bourbon,2005,Number,159
Bourbon,2006,Number,173
Bourbon,2007,Number,170
Bourbon,2008,Number,174
Bourbon,2009,Number,160
Bourbon,2004,Percent,0.7
Bourbon,2005,Percent,0.69
Bourbon,2006,Percent,0.65
Bourbon,2007,Percent,0.69
Bourbon,2008,Percent,0.67
Bourbon,2009,Percent,0.69
Boyd,2004,Number,339
Boyd,2005,Number,325
Boyd,2006,Number,353
Boyd,2007,Number,290
Boyd,2008,Number,275
Boyd,2009,Number,267
Boyd,2004,Percent,0.59
Boyd,2005,Percent,0.56
Boyd,2006,Percent,0.57
Boyd,2007,Percent,0.55
Boyd,2008,Percent,0.52
Boyd,2009,Percent,0.5
Boyle,2004,Number,219
Boyle,2005,Number,209
Boyle,2006,Number,245
Boyle,2007,Number,209
Boyle,2008,Number,206
Boyle,2009,Number,197
Boyle,2004,Percent,0.74
Boyle,2005,Percent,0.69
Boyle,2006,Percent,0.72
Boyle,2007,Percent,0.64
Boyle,2008,Percent,0.69
Boyle,2009,Percent,0.68
Bracken,2004,Number,98
Bracken,2005,Number,78
Bracken,2006,Number,75
Bracken,2007,Number,70
Bracken,2008,Number,58
Bracken,2009,Number,76
Bracken,2004,Percent,0.76
Bracken,2005,Percent,0.72
Bracken,2006,Percent,0.65
Bracken,2007,Percent,0.57
Bracken,2008,Percent,0.55
Bracken,2009,Percent,0.68
Breathitt,2004,Number,107
Breathitt,2005,Number,95
Breathitt,2006,Number,122
Breathitt,2007,Number,111
Breathitt,2008,Number,94
Breathitt,2009,Number,98
Breathitt,2004,Percent,0.64
Breathitt,2005,Percent,0.55
Breathitt,2006,Percent,0.57
Breathitt,2007,Percent,0.57
Breathitt,2008,Percent,0.52
Breathitt,2009,Percent,0.6
Breckinridge,2004,Number,155
Breckinridge,2005,Number,137
Breckinridge,2006,Number,128
Breckinridge,2007,Number,122
Breckinridge,2008,Number,146
Breckinridge,2009,Number,138
Breckinridge,2004,Percent,0.62
Breckinridge,2005,Percent,0.55
Breckinridge,2006,Percent,0.54
Breckinridge,2007,Percent,0.56
Breckinridge,2008,Percent,0.61
Breckinridge,2009,Percent,0.59
Bullitt,2004,Number,534
Bullitt,2005,Number,561
Bullitt,2006,Number,620
Bullitt,2007,Number,602
Bullitt,2008,Number,559
Bullitt,2009,Number,543
Bullitt,2004,Percent,0.77
Bullitt,2005,Percent,0.75
Bullitt,2006,Percent,0.77
Bullitt,2007,Percent,0.77
Bullitt,2008,Percent,0.78
Bullitt,2009,Percent,0.75
Butler,2004,Number,115
Butler,2005,Number,116
Butler,2006,Number,109
Butler,2007,Number,94
Butler,2008,Number,88
Butler,2009,Number,100
Butler,2004,Percent,0.67
Butler,2005,Percent,0.71
Butler,2006,Percent,0.67
Butler,2007,Percent,0.52
Butler,2008,Percent,0.56
Butler,2009,Percent,0.55
Caldwell,2004,Number,83
Caldwell,2005,Number,92
Caldwell,2006,Number,97
Caldwell,2007,Number,87
Caldwell,2008,Number,116
Caldwell,2009,Number,126
Caldwell,2004,Percent,0.68
Caldwell,2005,Percent,0.68
Caldwell,2006,Percent,0.64
Caldwell,2007,Percent,0.69
Caldwell,2008,Percent,0.69
Caldwell,2009,Percent,0.79
Calloway,2004,Number,239
Calloway,2005,Number,303
Calloway,2006,Number,304
Calloway,2007,Number,309
Calloway,2008,Number,315
Calloway,2009,Number,349
Calloway,2004,Percent,0.76
Calloway,2005,Percent,0.8
Calloway,2006,Percent,0.85
Calloway,2007,Percent,0.85
Calloway,2008,Percent,0.79
Calloway,2009,Percent,0.84
Campbell,2004,Number,834
Campbell,2005,Number,797
Campbell,2006,Number,673
Campbell,2007,Number,641
Campbell,2008,Number,478
Campbell,2009,Number,522
Campbell,2004,Percent,0.77
Campbell,2005,Percent,0.75
Campbell,2006,Percent,0.62
Campbell,2007,Percent,0.59
Campbell,2008,Percent,0.61
Campbell,2009,Percent,0.63
Carlisle,2004,Number,42
Carlisle,2005,Number,46
Carlisle,2006,Number,51
Carlisle,2007,Number,55
Carlisle,2008,Number,49
Carlisle,2009,Number,46
Carlisle,2004,Percent,0.68
Carlisle,2005,Percent,0.68
Carlisle,2006,Percent,0.81
Carlisle,2007,Percent,0.83
Carlisle,2008,Percent,0.78
Carlisle,2009,Percent,0.82
Carroll,2004,Number,95
Carroll,2005,Number,92
Carroll,2006,Number,96
Carroll,2007,Number,105
Carroll,2008,Number,119
Carroll,2009,Number,107
Carroll,2004,Percent,0.58
Carroll,2005,Percent,0.67
Carroll,2006,Percent,0.69
Carroll,2007,Percent,0.63
Carroll,2008,Percent,0.64
Carroll,2009,Percent,0.63
Carter,2004,Number,204
Carter,2005,Number,214
Carter,2006,Number,214
Carter,2007,Number,182
Carter,2008,Number,175
Carter,2009,Number,138
Carter,2004,Percent,0.61
Carter,2005,Percent,0.58
Carter,2006,Percent,0.58
Carter,2007,Percent,0.56
Carter,2008,Percent,0.52
Carter,2009,Percent,0.45
Casey,2004,Number,116
Casey,2005,Number,99
Casey,2006,Number,108
Casey,2007,Number,100
Casey,2008,Number,127
Casey,2009,Number,127
Casey,2004,Percent,0.59
Casey,2005,Percent,0.55
Casey,2006,Percent,0.6
Casey,2007,Percent,0.58
Casey,2008,Percent,0.67
Casey,2009,Percent,0.6
Christian,2004,Number,733
Christian,2005,Number,759
Christian,2006,Number,740
Christian,2007,Number,1103
Christian,2008,Number,1023
Christian,2009,Number,1007
Christian,2004,Percent,0.58
Christian,2005,Percent,0.55
Christian,2006,Percent,0.56
Christian,2007,Percent,0.71
Christian,2008,Percent,0.7
Christian,2009,Percent,0.7
Clark,2004,Number,339
Clark,2005,Number,312
Clark,2006,Number,350
Clark,2007,Number,357
Clark,2008,Number,304
Clark,2009,Number,343
Clark,2004,Percent,0.77
Clark,2005,Percent,0.75
Clark,2006,Percent,0.75
Clark,2007,Percent,0.78
Clark,2008,Percent,0.72
Clark,2009,Percent,0.75
Clay,2004,Number,142
Clay,2005,Number,146
Clay,2006,Number,167
Clay,2007,Number,146
Clay,2008,Number,139
Clay,2009,Number,153
Clay,2004,Percent,0.54
Clay,2005,Percent,0.57
Clay,2006,Percent,0.57
Clay,2007,Percent,0.52
Clay,2008,Percent,0.53
Clay,2009,Percent,0.59
Clinton,2004,Number,90
Clinton,2005,Number,63
Clinton,2006,Number,81
Clinton,2007,Number,104
Clinton,2008,Number,98
Clinton,2009,Number,85
Clinton,2004,Percent,0.71
Clinton,2005,Percent,0.55
Clinton,2006,Percent,0.6
Clinton,2007,Percent,0.7
Clinton,2008,Percent,0.71
Clinton,2009,Percent,0.69
Crittenden,2004,Number,52
Crittenden,2005,Number,60
Crittenden,2006,Number,77
Crittenden,2007,Number,75
Crittenden,2008,Number,71
Crittenden,2009,Number,83
Crittenden,2004,Percent,0.55
Crittenden,2005,Percent,0.55
Crittenden,2006,Percent,0.65
Crittenden,2007,Percent,0.64
Crittenden,2008,Percent,0.62
Crittenden,2009,Percent,0.7
Cumberland,2004,Number,52
Cumberland,2005,Number,57
Cumberland,2006,Number,53
Cumberland,2007,Number,56
Cumberland,2008,Number,32
Cumberland,2009,Number,45
Cumberland,2004,Percent,0.73
Cumberland,2005,Percent,0.65
Cumberland,2006,Percent,0.62
Cumberland,2007,Percent,0.6
Cumberland,2008,Percent,0.49
Cumberland,2009,Percent,0.56
Daviess,2004,Number,851
Daviess,2005,Number,771
Daviess,2006,Number,832
Daviess,2007,Number,762
Daviess,2008,Number,873
Daviess,2009,Number,920
Daviess,2004,Percent,0.64
Daviess,2005,Percent,0.6
Daviess,2006,Percent,0.61
Daviess,2007,Percent,0.57
Daviess,2008,Percent,0.62
Daviess,2009,Percent,0.68
Edmonson,2004,Number,87
Edmonson,2005,Number,80
Edmonson,2006,Number,82
Edmonson,2007,Number,69
Edmonson,2008,Number,67
Edmonson,2009,Number,63
Edmonson,2004,Percent,0.71
Edmonson,2005,Percent,0.67
Edmonson,2006,Percent,0.7
Edmonson,2007,Percent,0.54
Edmonson,2008,Percent,0.58
Edmonson,2009,Percent,0.57
Elliott,2004,Number,51
Elliott,2005,Number,46
Elliott,2006,Number,57
Elliott,2007,Number,34
Elliott,2008,Number,39
Elliott,2009,Number,40
Elliott,2004,Percent,0.68
Elliott,2005,Percent,0.61
Elliott,2006,Percent,0.63
Elliott,2007,Percent,0.45
Elliott,2008,Percent,0.57
Elliott,2009,Percent,0.57
Estill,2004,Number,110
Estill,2005,Number,100
Estill,2006,Number,90
Estill,2007,Number,112
Estill,2008,Number,109
Estill,2009,Number,90
Estill,2004,Percent,0.54
Estill,2005,Percent,0.52
Estill,2006,Percent,0.51
Estill,2007,Percent,0.58
Estill,2008,Percent,0.58
Fayette,2004,Number,2717
Fayette,2005,Number,2579
Fayette,2006,Number,2747
Fayette,2007,Number,2683
Fayette,2008,Number,2676
Fayette,2009,Number,2615
Fleming,2004,Number,132
Fleming,2005,Number,114
Fleming,2006,Number,115
Fleming,2007,Number,141
Fleming,2008,Number,116
Fleming,2009,Number,118
Floyd,2004,Number,302
Floyd,2005,Number,303
Floyd,2006,Number,329
Floyd,2007,Number,309
Floyd,2008,Number,291
Floyd,2009,Number,247
Franklin,2004,Number,396
Franklin,2005,Number,416
Franklin,2006,Number,453
Franklin,2007,Number,469
Franklin,2008,Number,408
Franklin,2009,Number,415
Fulton,2004,Number,59
Fulton,2005,Number,44
Fulton,2006,Number,48
Fulton,2007,Number,57
Fulton,2008,Number,54
Fulton,2009,Number,52
Gallatin,2004,Number,101
Gallatin,2005,Number,90
Gallatin,2006,Number,76
Gallatin,2007,Number,81
Gallatin,2008,Number,63
Gallatin,2009,Number,49
Garrard,2004,Number,115
Garrard,2005,Number,104
Garrard,2006,Number,134
Garrard,2007,Number,134
Garrard,2008,Number,143
Garrard,2009,Number,127
Grant,2004,Number,278
Grant,2005,Number,280
Grant,2006,Number,261
Grant,2007,Number,243
Grant,2008,Number,235
Grant,2009,Number,224
Graves,2004,Number,348
Graves,2005,Number,316
Graves,2006,Number,347
Graves,2007,Number,363
Graves,2008,Number,346
Graves,2009,Number,376
Grayson,2004,Number,236
Grayson,2005,Number,222
Grayson,2006,Number,221
Grayson,2007,Number,247
Grayson,2008,Number,213
Grayson,2009,Number,224
Green,2004,Number,84
Green,2005,Number,87
Green,2006,Number,84
Green,2007,Number,83
Green,2008,Number,80
Green,2009,Number,68
Greenup,2004,Number,257
Greenup,2005,Number,264
Greenup,2006,Number,234
Greenup,2007,Number,234
Greenup,2008,Number,186
Greenup,2009,Number,172
Hancock,2004,Number,78
Hancock,2005,Number,80
Hancock,2006,Number,60
Hancock,2007,Number,56
Hancock,2008,Number,82
Hancock,2009,Number,73
Hardin,2004,Number,831
Hardin,2005,Number,876
Hardin,2006,Number,897
Hardin,2007,Number,825
Hardin,2008,Number,896
Hardin,2009,Number,794
Harlan,2004,Number,237
Harlan,2005,Number,232
Harlan,2006,Number,260
Harlan,2007,Number,221
Harlan,2008,Number,258
Harlan,2009,Number,182
Harrison,2004,Number,156
Harrison,2005,Number,153
Harrison,2006,Number,171
Harrison,2007,Number,186
Harrison,2008,Number,165
Harrison,2009,Number,149
Hart,2004,Number,154
Hart,2005,Number,126
Hart,2006,Number,112
Hart,2007,Number,128
Hart,2008,Number,120
Hart,2009,Number,107
Henderson,2004,Number,364
Henderson,2005,Number,319
Henderson,2006,Number,347
Henderson,2007,Number,245
Henderson,2008,Number,310
Henderson,2009,Number,312
Henry,2004,Number,139
Henry,2005,Number,141
Henry,2006,Number,149
Henry,2007,Number,164
Henry,2008,Number,130
Henry,2009,Number,131
Hickman,2004,Number,36
Hickman,2005,Number,25
Hickman,2006,Number,34
Hickman,2007,Number,42
Hickman,2008,Number,30
Hickman,2009,Number,28
Hopkins,2004,Number,394
Hopkins,2005,Number,394
Hopkins,2006,Number,334
Hopkins,2007,Number,374
Hopkins,2008,Number,430
Hopkins,2009,Number,443
Jackson,2004,Number,98
Jackson,2005,Number,79
Jackson,2006,Number,104
Jackson,2007,Number,86
Jackson,2008,Number,78
Jackson,2009,Number,85
Jefferson,2004,Number,7111
Jefferson,2005,Number,7061
Jefferson,2006,Number,7317
Jefferson,2007,Number,7290
Jefferson,2008,Number,7140
Jefferson,2009,Number,6599
Jessamine,2004,Number,414
Jessamine,2005,Number,448
Jessamine,2006,Number,491
Jessamine,2007,Number,466
Jessamine,2008,Number,455
Jessamine,2009,Number,448
Johnson,2004,Number,176
Johnson,2005,Number,197
Johnson,2006,Number,211
Johnson,2007,Number,177
Johnson,2008,Number,180
Johnson,2009,Number,158
Kenton,2004,Number,1675
Kenton,2005,Number,1628
Kenton,2006,Number,1422
Kenton,2007,Number,1378
Kenton,2008,Number,1178
Kenton,2009,Number,1152
Knott,2004,Number,73
Knott,2005,Number,52
Knott,2006,Number,58
Knott,2007,Number,71
Knott,2008,Number,124
Knott,2009,Number,111
Knox,2004,Number,292
Knox,2005,Number,309
Knox,2006,Number,330
Knox,2007,Number,210
Knox,2008,Number,235
Knox,2009,Number,205
Larue,2004,Number,84
Larue,2005,Number,91
Larue,2006,Number,93
Larue,2007,Number,75
Larue,2008,Number,97
Larue,2009,Number,95
Laurel,2004,Number,459
Laurel,2005,Number,469
Laurel,2006,Number,530
Laurel,2007,Number,442
Laurel,2008,Number,441
Laurel,2009,Number,476
Lawrence,2004,Number,119
Lawrence,2005,Number,129
Lawrence,2006,Number,114
Lawrence,2007,Number,96
Lawrence,2008,Number,97
Lawrence,2009,Number,95
Lee,2004,Number,46
Lee,2005,Number,41
Lee,2006,Number,39
Lee,2007,Number,36
Lee,2008,Number,25
Lee,2009,Number,32
Leslie,2004,Number,67
Leslie,2005,Number,60
Leslie,2006,Number,61
Leslie,2007,Number,101
Leslie,2008,Number,100
Leslie,2009,Number,106
Letcher,2004,Number,89
Letcher,2005,Number,53
Letcher,2006,Number,60
Letcher,2007,Number,64
Letcher,2008,Number,209
Letcher,2009,Number,201
Lewis,2004,Number,137
Lewis,2005,Number,152
Lewis,2006,Number,105
Lewis,2007,Number,100
Lewis,2008,Number,51
Lewis,2009,Number,51
Lincoln,2004,Number,229
Lincoln,2005,Number,232
Lincoln,2006,Number,238
Lincoln,2007,Number,237
Lincoln,2008,Number,233
Lincoln,2009,Number,229
Livingston,2004,Number,63
Livingston,2005,Number,72
Livingston,2006,Number,85
Livingston,2007,Number,92
Livingston,2008,Number,77
Livingston,2009,Number,87
Logan,2004,Number,239
Logan,2005,Number,217
Logan,2006,Number,214
Logan,2007,Number,231
Logan,2008,Number,181
Logan,2009,Number,167
Lyon,2004,Number,36
Lyon,2005,Number,54
Lyon,2006,Number,51
Lyon,2007,Number,49
Lyon,2008,Number,54
Lyon,2009,Number,58
McCracken,2004,Number,658
McCracken,2005,Number,612
McCracken,2006,Number,662
McCracken,2007,Number,660
McCracken,2008,Number,677
McCracken,2009,Number,642
McCreary,2004,Number,184
McCreary,2005,Number,175
McCreary,2006,Number,174
McCreary,2007,Number,177
McCreary,2008,Number,153
McCreary,2009,Number,163
McLean,2004,Number,69
McLean,2005,Number,68
McLean,2006,Number,71
McLean,2007,Number,76
McLean,2008,Number,67
McLean,2009,Number,70
Madison,2004,Number,641
Madison,2005,Number,642
Madison,2006,Number,683
Madison,2007,Number,613
Madison,2008,Number,634
Madison,2009,Number,585
Magoffin,2004,Number,85
Magoffin,2005,Number,121
Magoffin,2006,Number,112
Magoffin,2007,Number,107
Magoffin,2008,Number,92
Magoffin,2009,Number,82
Marion,2004,Number,163
Marion,2005,Number,191
Marion,2006,Number,187
Marion,2007,Number,165
Marion,2008,Number,158
Marion,2009,Number,210
Marshall,2004,Number,264
Marshall,2005,Number,254
Marshall,2006,Number,233
Marshall,2007,Number,291
Marshall,2008,Number,268
Marshall,2009,Number,286
Martin,2004,Number,88
Martin,2005,Number,83
Martin,2006,Number,102
Martin,2007,Number,71
Martin,2008,Number,67
Martin,2009,Number,43
Mason,2004,Number,155
Mason,2005,Number,118
Mason,2006,Number,179
Mason,2007,Number,178
Mason,2008,Number,139
Mason,2009,Number,138
Meade,2004,Number,125
Meade,2005,Number,165
Meade,2006,Number,161
Meade,2007,Number,157
Meade,2008,Number,151
Meade,2009,Number,168
Menifee,2004,Number,54
Menifee,2005,Number,55
Menifee,2006,Number,52
Menifee,2007,Number,45
Menifee,2008,Number,54
Menifee,2009,Number,40
Mercer,2004,Number,190
Mercer,2005,Number,179
Mercer,2006,Number,164
Mercer,2007,Number,173
Mercer,2008,Number,201
Mercer,2009,Number,188
Metcalfe,2004,Number,94
Metcalfe,2005,Number,80
Metcalfe,2006,Number,70
Metcalfe,2007,Number,87
Metcalfe,2008,Number,79
Metcalfe,2009,Number,77
Monroe,2004,Number,111
Monroe,2005,Number,95
Monroe,2006,Number,78
Monroe,2007,Number,83
Monroe,2008,Number,82
Monroe,2009,Number,61
Montgomery,2004,Number,251
Montgomery,2005,Number,235
Montgomery,2006,Number,282
Montgomery,2007,Number,287
Montgomery,2008,Number,272
Montgomery,2009,Number,291
Morgan,2004,Number,104
Morgan,2005,Number,83
Morgan,2006,Number,107
Morgan,2007,Number,114
Morgan,2008,Number,75
Morgan,2009,Number,89
Muhlenberg,2004,Number,253
Muhlenberg,2005,Number,264
Muhlenberg,2006,Number,243
Muhlenberg,2007,Number,218
Muhlenberg,2008,Number,255
Muhlenberg,2009,Number,255
Nelson,2004,Number,387
Nelson,2005,Number,410
Nelson,2006,Number,444
Nelson,2007,Number,440
Nelson,2008,Number,463
Nelson,2009,Number,412
Nicholas,2004,Number,79
Nicholas,2005,Number,64
Nicholas,2006,Number,54
Nicholas,2007,Number,69
Nicholas,2008,Number,71
Nicholas,2009,Number,58
Ohio,2004,Number,212
Ohio,2005,Number,219
Ohio,2006,Number,213
Ohio,2007,Number,162
Ohio,2008,Number,207
Ohio,2009,Number,185
Oldham,2004,Number,416
Oldham,2005,Number,412
Oldham,2006,Number,442
Oldham,2007,Number,429
Oldham,2008,Number,457
Oldham,2009,Number,370
Owen,2004,Number,93
Owen,2005,Number,89
Owen,2006,Number,94
Owen,2007,Number,95
Owen,2008,Number,75
Owen,2009,Number,64
Owsley,2004,Number,23
Owsley,2005,Number,26
Owsley,2006,Number,24
Owsley,2007,Number,22
Owsley,2008,Number,27
Owsley,2009,Number,34
Pendleton,2004,Number,132
Pendleton,2005,Number,124
Pendleton,2006,Number,99
Pendleton,2007,Number,110
Pendleton,2008,Number,81
Pendleton,2009,Number,111
Perry,2004,Number,167
Perry,2005,Number,131
Perry,2006,Number,157
Perry,2007,Number,191
Perry,2008,Number,238
Perry,2009,Number,223
Pike,2004,Number,473
Pike,2005,Number,460
Pike,2006,Number,444
Pike,2007,Number,458
Pike,2008,Number,472
Pike,2009,Number,413
Powell,2004,Number,129
Powell,2005,Number,137
Powell,2006,Number,140
Powell,2007,Number,122
Powell,2008,Number,107
Powell,2009,Number,116
Pulaski,2004,Number,577
Pulaski,2005,Number,585
Pulaski,2006,Number,547
Pulaski,2007,Number,650
Pulaski,2008,Number,653
Pulaski,2009,Number,571
Robertson,2004,Number,9
Robertson,2005,Number,21
Robertson,2006,Number,12
Robertson,2007,Number,23
Robertson,2008,Number,21
Robertson,2009,Number,14
Estill,2009,Percent,0.57
Fayette,2004,Percent,0.71
Fayette,2005,Percent,0.68
Fayette,2006,Percent,0.71
Fayette,2007,Percent,0.67
Fayette,2008,Percent,0.68
Fayette,2009,Percent,0.67
Fleming,2004,Percent,0.72
Fleming,2005,Percent,0.62
Fleming,2006,Percent,0.63
Fleming,2007,Percent,0.68
Fleming,2008,Percent,0.62
Fleming,2009,Percent,0.59
Floyd,2004,Percent,0.54
Floyd,2005,Percent,0.57
Floyd,2006,Percent,0.58
Floyd,2007,Percent,0.56
Floyd,2008,Percent,0.55
Floyd,2009,Percent,0.48
Franklin,2004,Percent,0.65
Franklin,2005,Percent,0.68
Franklin,2006,Percent,0.72
Franklin,2007,Percent,0.73
Franklin,2008,Percent,0.69
Franklin,2009,Percent,0.68
Fulton,2004,Percent,0.66
Fulton,2005,Percent,0.57
Fulton,2006,Percent,0.54
Fulton,2007,Percent,0.61
Fulton,2008,Percent,0.6
Fulton,2009,Percent,0.65
Gallatin,2004,Percent,0.7
Gallatin,2005,Percent,0.67
Gallatin,2006,Percent,0.54
Gallatin,2007,Percent,0.59
Gallatin,2008,Percent,0.58
Gallatin,2009,Percent,0.42
Garrard,2004,Percent,0.71
Garrard,2005,Percent,0.66
Garrard,2006,Percent,0.71
Garrard,2007,Percent,0.66
Garrard,2008,Percent,0.73
Garrard,2009,Percent,0.66
Grant,2004,Percent,0.73
Grant,2005,Percent,0.68
Grant,2006,Percent,0.63
Grant,2007,Percent,0.62
Grant,2008,Percent,0.6
Grant,2009,Percent,0.66
Graves,2004,Percent,0.73
Graves,2005,Percent,0.71
Graves,2006,Percent,0.7
Graves,2007,Percent,0.72
Graves,2008,Percent,0.65
Graves,2009,Percent,0.74
Grayson,2004,Percent,0.7
Grayson,2005,Percent,0.68
Grayson,2006,Percent,0.67
Grayson,2007,Percent,0.66
Grayson,2008,Percent,0.66
Grayson,2009,Percent,0.67
Green,2004,Percent,0.68
Green,2005,Percent,0.66
Green,2006,Percent,0.71
Green,2007,Percent,0.63
Green,2008,Percent,0.65
Green,2009,Percent,0.58
Greenup,2004,Percent,0.6
Greenup,2005,Percent,0.64
Greenup,2006,Percent,0.59
Greenup,2007,Percent,0.56
Greenup,2008,Percent,0.53
Greenup,2009,Percent,0.55
Hancock,2004,Percent,0.65
Hancock,2005,Percent,0.66
Hancock,2006,Percent,0.63
Hancock,2007,Percent,0.54
Hancock,2008,Percent,0.73
Hancock,2009,Percent,0.62
Hardin,2004,Percent,0.56
Hardin,2005,Percent,0.54
Hardin,2006,Percent,0.56
Hardin,2007,Percent,0.53
Hardin,2008,Percent,0.54
Hardin,2009,Percent,0.51
Harlan,2004,Percent,0.64
Harlan,2005,Percent,0.61
Harlan,2006,Percent,0.62
Harlan,2007,Percent,0.54
Harlan,2008,Percent,0.6
Harlan,2009,Percent,0.51
Harrison,2004,Percent,0.7
Harrison,2005,Percent,0.73
Harrison,2006,Percent,0.75
Harrison,2007,Percent,0.68
Harrison,2008,Percent,0.74
Harrison,2009,Percent,0.65
Hart,2004,Percent,0.63
Hart,2005,Percent,0.52
Hart,2006,Percent,0.5
Hart,2007,Percent,0.5
Hart,2008,Percent,0.45
Hart,2009,Percent,0.48
Henderson,2004,Percent,0.58
Henderson,2005,Percent,0.53
Henderson,2006,Percent,0.58
Henderson,2007,Percent,0.47
Henderson,2008,Percent,0.49
Henderson,2009,Percent,0.51
Henry,2004,Percent,0.68
Henry,2005,Percent,0.73
Henry,2006,Percent,0.76
Henry,2007,Percent,0.75
Henry,2008,Percent,0.73
Henry,2009,Percent,0.71
Hickman,2004,Percent,0.73
Hickman,2005,Percent,0.63
Hickman,2006,Percent,0.74
Hickman,2007,Percent,0.7
Hickman,2008,Percent,0.7
Hickman,2009,Percent,0.6
Hopkins,2004,Percent,0.66
Hopkins,2005,Percent,0.64
Hopkins,2006,Percent,0.55
Hopkins,2007,Percent,0.58
Hopkins,2008,Percent,0.69
Hopkins,2009,Percent,0.77
Jackson,2004,Percent,0.52
Jackson,2005,Percent,0.49
Jackson,2006,Percent,0.56
Jackson,2007,Percent,0.5
Jackson,2008,Percent,0.49
Jackson,2009,Percent,0.56
Jefferson,2004,Percent,0.73
Jefferson,2005,Percent,0.73
Jefferson,2006,Percent,0.71
Jefferson,2007,Percent,0.7
Jefferson,2008,Percent,0.69
Jefferson,2009,Percent,0.66
Jessamine,2004,Percent,0.72
Jessamine,2005,Percent,0.72
Jessamine,2006,Percent,0.7
Jessamine,2007,Percent,0.68
Jessamine,2008,Percent,0.68
Jessamine,2009,Percent,0.66
Johnson,2004,Percent,0.62
Johnson,2005,Percent,0.67
Johnson,2006,Percent,0.66
Johnson,2007,Percent,0.66
Johnson,2008,Percent,0.62
Johnson,2009,Percent,0.56
Kenton,2004,Percent,0.75
Kenton,2005,Percent,0.72
Kenton,2006,Percent,0.63
Kenton,2007,Percent,0.59
Kenton,2008,Percent,0.6
Kenton,2009,Percent,0.61
Knott,2004,Percent,0.42
Knott,2005,Percent,0.29
Knott,2006,Percent,0.3
Knott,2007,Percent,0.37
Knott,2008,Percent,0.67
Knott,2009,Percent,0.54
Knox,2004,Percent,0.55
Knox,2005,Percent,0.58
Knox,2006,Percent,0.64
Knox,2007,Percent,0.5
Knox,2008,Percent,0.55
Knox,2009,Percent,0.5
Larue,2004,Percent,0.56
Larue,2005,Percent,0.5
Larue,2006,Percent,0.53
Larue,2007,Percent,0.46
Larue,2008,Percent,0.63
Larue,2009,Percent,0.55
