State,CMS Certification Number (CCN)*,Provider Name,Address,City,Zip,Phone,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Date Certified,Footnote
AK,27022,FRONTIER HOME HEALTH,"3909 ARCTIC BLVD, SUITE 102",ANCHORAGE,99503,9072721275,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,5/7/96, 
AK,27020,"1ST CHOICE HOME HEALTH CARE, INC","43421 KALIFORNSKY BEACH ROAD, SUITE 4",SOLDOTNA,99669,9072605959,Private,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,1/2/96, 
AL,17109,NORTHWEST HOME HEALTH HALEYVILLE,HIGHWAY 195 EAST PO BOX 780,HALEYVILLE,35565,2054857341,Proprietary,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,6/23/93, 
AL,17177,"SHOALS HOME SERVICES, LLC",1114 BRADSHAW DRIVE,FLORENCE,35630,2562469972,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8/15/13, 
AL,17319,AMEDISYS HOME HEALTH OF MONTGOMERY,"300 INTERSTATE PARK DRIVE, SUITE 324",MONTGOMERY,36109,3342720313,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2/1/94, 
AL,17112,JACKSON MEDICAL CENTER HOME HEALTH,112 FOREST AVENUE,JACKSON,36545,2512470424,Proprietary,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,6/29/93, 
AL,17328,AMEDISYS HOME HEALTH OF BREWTON,2554 DOUGLAS AVENUE,BREWTON,36426,2518091717,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1/18/06, 
AL,17801,AUTAUGA COUNTY HOME CARE,219 NORTH COURT STREET,PRATTVILLE,36067,3343613753,State/County,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,7/1/66, 
AL,17323,MONROE CO HOSP PROGRESSIVE HOM,DR WOODROW EDDINS MED DR-P.O. 886,MONROEVILLE,36461,2517437328,State/County,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,3/6/95, 
AL,17812,MARENGO COUNTY HOME CARE AGENCY,303 INDUSTRIAL DRIVE,LINDEN,36748,3342950000,State/County,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,10/14/70, 
AL,17816,COFFEE COUNTY HOME CARE,2841 NEAL METCALF ROAD,ENTERPRISE,36330,3343479576,State/County,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,7/1/66, 
AL,17324,ALACARE HOME HEALTH AND HOSPICE,824 HIGHWAY 231 SOUTH,TROY,36081,3345669238,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11/13/02, 
AL,17326,ALACARE HOME HEALTH & HOSPICE,"1690 BELTLINE ROAD, SUITE B",DECATUR,35601,2563555746,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10/12/01, 
AL,17320,AMEDISYS HOME HEALTH OF SELMA,108 EXECUTIVE PARK LANE,SELMA,36701,3348752550,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10/31/91, 
AL,17803,BARBOUR COUNTY HOME CARE,39 BROWDER STREET,CLAYTON,36016,3347759044,State/County,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,7/1/66, 
AL,17817,NORTHWEST ALABAMA REGIONAL HOME CARE AGENCY,1000 SOUTH JACKSON HIGHWAY,SHEFFIELD,35660,2563831234,State/County,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,7/1/66, 
AL,17327,AMEDISYS HOME HEALTH OF WALKER,100 HIGHWAY 78 WEST,JASPER,35501,2052952434,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8/3/05, 
AL,17818,CONECUH COUNTY HOME CARE,102 WILD AVENUE,EVERGREEN,36401,2515785265,State/County,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,7/1/66, 
AL,17824,DALLAS COUNTY HOME CARE,100 SAMUEL O. MOSLEY DR,SELMA,36701,3348722323,State/County,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,3/6/69, 
AL,17825,DEKALB COUNTY HOME CARE,2401 CALVIN DRIVE SOUTHWEST,FORT PAYNE,35967,2568458680,State/County,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7/1/66, 
AL,17828,ETOWAH COUNTY HOME CARE,709 EAST BROAD STREET,GADSDEN,35903,2565475012,State/County,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,7/1/66, 
AL,17176,ACE HOME HEALTH CARE,"7017 WALL TRIANA HIGHWAY, SUITE C",MADISON,35757,2563468223,Proprietary,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,6/12/13, 
AL,17831,GENEVA COUNTY HOME CARE,300 COUNTY ROAD 41,HARTFORD,36344,3346842259,State/County,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,7/1/66, 
AL,17835,HOUSTON COUNTY HOME CARE,1781 E COTTONWOOD ROAD,DOTHAN,36302,3346782805,State/County,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,7/1/66, 
AL,17836,JACKSON COUNTY HOME CARE,204 LIBERTY LANE,SCOTTSBORO,35769,2562593694,State/County,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,7/1/66, 
AL,17847,MARION COUNTY HOME CARE,"2448 MILITARY STREET, SOUTH",HAMILTON,35570,2059212859,State/County,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7/1/66, 
AL,17848,MARSHALL COUNTY HOME CARE,150 JUDY SMITH DRIVE,GUNTERSVILLE,35976,2565828425,State/County,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,3/26/69, 
AL,17850,MONROE COUNTY HOME CARE,416 AGRICULTURE DRIVE,MONROEVILLE,36460,2515752980,State/County,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,8/14/69, 
AL,17851,MONTGOMERY COUNTY HOME CARE,3060 MOBILE HIGHWAY,MONTGOMERY,36108,3342936525,State/County,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7/1/66, 
AL,17856,RANDOLPH COUNTY HOME CARE,320 MAIN STREET,ROANOKE,36274,3348638983,State/County,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,7/1/66, 
AL,17861,TALLADEGA COUNTY HOME CARE AGENCY,311 NORTH ELM AVENUE,SYLACAUGA,35150,2562494893,Other,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,7/1/66, 
AL,17863,TUSCALOOSA COUNTY HOME CARE,2350 HARGROVE ROAD EAST,TUSCALOOSA,35405,2055544520,State/County,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,7/1/66, 
AL,17865,WASHINGTON COUNTY HOME CARE,14900 SAINT STEPHENS AVENUE,CHATOM,36518,2518472257,State/County,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1/10/69, 
AL,17867,WINSTON COUNTY HOME CARE,110 LEGION ROAD,DOUBLE SPRINGS,35553,2054863159,State/County,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,7/1/66, 
AL,17872,LAMAR COUNTY HOME CARE,300 SPRINGFIELD ROAD,VERNON,35592,2056956916,State/County,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,5/2/85, 
AL,17873,MORGAN COUNTY HOME CARE AGENCY,"201 GORDON DRIVE SE, SUITE 107",DECATUR,35601,2563062400,State/County,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2/25/87, 
AL,17874,LIMESTONE COUNTY HOME CARE,20371 CLYDE MABRY DRIVE,ATHENS,35611,2562300434,State/County,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4/6/88, 
AL,17000,BUREAU OF HOME & COMMUNITY SERVICES,"201 MONROE STREET, THE RSA TOWER,  SUITE 1200",MONTGOMERY,36104,3342065341,State/County,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7/1/66, 
AL,17875,CULLMAN COUNTY HOME CARE,601 LOGAN AVENUE SW,CULLMAN,35055,2567340258,State/County,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,10/1/70, 
AL,17876,LAWRENCE COUNTY HOME CARE,"13299 ALABAMA HIGHWAY 157, P O BOX 308",MOULTON,35650,2569747076,State/County,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,4/5/88, 
AL,17175,BROOKWOOD HOME HEALTH LLC,525 BROOKWOOD BLVD,HOMEWOOD,35209,2058771754,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5/24/13, 
AL,17172,"WOODLAND HOME HEALTH SERVICES CRMC, LLC",1910 CHEROKEE AVENUE SW,CULLMAN,35055,2568414443,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6/30/11, 
AL,17171,GENTIVA HEALTH SERVICES,1217 CULLMAN SHOPPING CENTER NW,CULLMAN,35055,2567392992,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9/2/09, 
AL,17170,GENTIVA HEALTH SERVICES,1458 JONES DAIRY ROAD SUITE 100,JASPER,35501,2052215234,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9/4/09, 
AL,17169,CV HOME HEALTH SERVICES,17035 HWY 11 NORTH,VANCE,35490,2055629615,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12/15/10, 
AL,17168,GENTIVA HEALTH SERVICES,824 WESTERN AMERICA DRIVE,MOBILE,36609,2513160917,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5/21/09, 
AL,17167,GENTIVA HEALTH SERVICES,3319 DR JOHN HAYNES DRIVE SUITE 4,PELL CITY,35125,2053388440,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5/20/09, 
AL,17166,GENTIVA HEALTH SERVICES,118 6TH STREET SOUTH,CLANTON,35045,2057559926,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5/11/09, 
AL,17165,AMEDISYS HOME HEALTH OF FLORENCE,"412 S COURT STREET, SUITE 403",FLORENCE,35630,2567661817,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4/10/08, 
AL,17164,GENTIVA HEALTH SERVICES,2740 HEADLAND AVE,DOTHAN,36303,3349442290,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2/27/08, 
AL,17163,AMEDISYS HOME HEALTH OF MONROEVILLE,15 MAYFIELD STREET,MONROEVILLE,36460,2515759195,Proprietary,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,4/12/07, 
AL,17161,GENTIVA HEALTH SERVICES,"185 CHATEAU DRIVE, SW, SUITE 102",HUNTSVILLE,35801,2568813266,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3/15/07, 
AL,17160,CARESOUTH HOMECARE PROFESSIONALS,"2002 35TH STREET, SUITE D",VALLEY,36854,3347566225,Proprietary,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,9/13/06, 
AL,17159,AMEDISYS HOME HEALTH OF OZARK,2560 COUNTY ROAD 112,DOTHAN,36303,3347740370,Proprietary,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,7/26/06, 
AL,17158,AMEDISYS HOME HEALTH OF FORT PAYNE,501 GREENHILL BLVD SUITE 150,FORT PAYNE,35967,2568448303,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7/11/06, 
AL,17157,AMEDISYS HOME HEALTH OF OPELIKA,"3320 SKYWAY DRIVE, SUITE 804",OPELIKA,36801,3348877234,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3/9/06, 
AL,17156,BAPTIST CITIZENS HOME HEALTH CARE,604 STONE AVENUE,TALLADEGA,35160,2567614363,Religious Affiliations,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8/25/04, 
AL,17155,ALACARE HOME HEALTH & HOSPICE (MOBILE),"1201 MONTLIMAR DRIVE, SUITE 700",MOBILE,36609,2513410707,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2/5/04, 
AL,17154,AMEDISYS HOME HEALTH,"4735 NORREL DRIVE, SUITE 125",TRUSSVILLE,35173,2056553707,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2/20/03, 
AL,17153,COMFORT CARE HOME HEALTH,1249 5TH STREET SOUTHWEST,ALABASTER,35007,2056850421,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3/20/02, 
AL,17152,GENTIVA HEALTH SERVICES,1025 FORT WILLIAMS,SYLACAUGA,35150,2562494363,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10/5/00, 
AL,17151,GENTIVA HEALTH SERVICES,1328 GREENBRIER-DEAR ROAD,ANNISTON,36207,2568357101,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10/5/00, 
AL,17149,ST VINCENT'S HOME HEALTH OF JEFFERSON COUNTY,"1400 URBAN CENTER DRIVE, SUITE 240",HOOVER,35242,2053132800,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7/12/00, 
AL,17148,THOMAS HOME HEALTH,"7530 PARKER ROAD, SUITE 200",FAIRHOPE,36532,2516251520,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4/13/00, 
AL,17147,SOUTHERN HOME HEALTH SERVICES,"30 SAMFORD AVENUE, UNIT 36-D",OPELIKA,36801,3347457966,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2/18/99, 
AL,17146,NORTHWEST HOME HEALTH,"711 HOSPITAL DRIVE NE, PO BOX 1147",RUSSELLVILLE,35653,2563310006,Proprietary,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,10/1/98, 
AL,17145,ST VINCENTS HOME HEALTH OF ST CLAIR COUNTY,"2401 STEMLEY BRIDGE ROAD, SUITE 7",PELL CITY,35128,2058847202,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11/29/95, 
AL,17143,D W MCMILLAN HOME HEALTH,114 W JACKSON STREET,BREWTON,36426,2518675054,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1/23/95, 
AL,17142,"ATMORE COMMUNITY HOME CARE, LLC","121 LINDBERG AVENUE, SUITE C",ATMORE,36502,2513686286,Other,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,2/13/95, 
AL,17140,THE HOSPITAL HOME HEALTH,54 ROY BEALL DRIVE,LUVERNE,36049,3343353374,Proprietary,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,12/28/94, 
AL,17139,ASSOCIATES HOME HEALTH SERVICES,102 WEST CONECUH AVE,UNION SPRINGS,36089,3347384155,Proprietary,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,12/12/94, 
AL,17138,L V STABLER MEMORIAL HOME HEALTH,"104 CAMELLIA AVENUE, SUITE B",GREENVILLE,36037,3343832286,Proprietary,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,10/18/94, 
AL,17136,RELIABLE HOME HEALTH,435 MEETING AVENUE,GEORGIANA,36033,3343762286,Proprietary,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,9/26/94, 
AL,17135,COMMUNITY HOME CARE,1526 GILMER AVENUE,TALLASSEE,36078,3342836541,Private,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9/27/94, 
AL,17132,BROOKDALE HOME HEALTH BIRMINGHAM,"1104 2ND AVE EAST, SUITE C",ONEONTA,35121,2052740720,Proprietary,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,6/15/94, 
AL,17130,INFIRMARY HOMECARE OF GROVE HILL,P O BOX 1207,GROVE HILL,36451,2512753136,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4/13/94, 
AL,17129,HOMECARE OF EAST ALABAMA MEDICAL CENTER,"665 OPELIKA ROAD, SUITE 300",AUBURN,36830,3348263131,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3/31/94, 
AL,17128,MEDICAL CENTERS HOMECARE,11687 US HWY 431,GUNTERSVILLE,35976,2568785811,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2/3/94, 
AL,17127,SOUTH BALDWIN REGIONAL HOME HEALTH,110 ELECIA LANE,FOLEY,36535,2514241045,State/County,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2/15/94, 
AL,17125,KELLER HOME CARE,116 4TH STREET NE,RED BAY,35582,2563568160,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1/20/94, 
AL,17124,DALE MEDICAL CTR HOME HEALTH,126 HOSPITAL AVENUE,OZARK,36360,3347740750,Other,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,10/20/93, 
AL,17123,EAMC - LANIER HOME HEALTH,1806 44TH ST.,VALLEY,36854,3347561950,Private,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10/21/93, 
AL,17121,GENTIVA HEALTH SERVICES,1309 ANTIOCH ROAD,ANDALUSIA,36420,3342222172,Proprietary,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,9/27/93, 
AL,17119,HGA HOMECARE OF HUNTSVILLE,"6767 OLD MADISON PIKE NW - BUILDING 4, SUITE 400",HUNTSVILLE,35806,2569226650,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9/20/93, 
AL,17118,"AMEDISYS H H, A LAWRENCE MEDICAL CTR PARTNER","15190 COURT STREET, SUITE B",MOULTON,35650,2569742200,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8/17/93, 
AL,17117,LAKE MARTIN HOME HEALTH,"301 MARIARDEN ROAD, SUITE F - PO BOX 629",DADEVILLE,36853,2568257050,Proprietary,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,7/29/93, 
AL,17116,IVY CREEK HOME HEALTH OF ELMORE,15 CAMBRIDGE COURT,WETUMPKA,36092,3345677710,Proprietary,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,7/26/93, 
AL,17008,JEFFERSON COUNTY HOME CARE,2201 ARLINGTON AVENUE,BESSEMER,35020,2059169500,State/County,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10/1/72, 
AL,17009,ALACARE HOME HEALTH & HOSPICE,2970 LORNA ROAD,BIRMINGHAM,35216,2058242680,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1/18/73, 
AL,17013,GENTIVA HEALTH SERVICES,"557 GLOVER STREET, SUITE 5",ENTERPRISE,36330,3343470234,Proprietary,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,7/24/75, 
AL,17014,AMEDISYS HOME HEALTH OF BLOUNTSVILLE,"1106 2ND AVENUE E, SUITE E",ONEONTA,35121,2052744919,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,9/4/75, 
AL,17016,SOUTHEAST ALABAMA HOMECARE,804 GLOVER AVENUE,ENTERPRISE,36330,3347940591,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6/9/76, 
AL,17017,SOUTHERN RURAL HEALTH CARE,508 ST CLAIR STREET SE,RUSSELLVILLE,35653,2563321631,Private,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3/26/77, 
AL,17018,GENTIVA HEALTH SERVICES,"3225 RAINBOW STREET, SUITE 256",RAINBOW CITY,35906,2564421138,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1/1/77, 
AL,17020,AMEDISYS HOME HEALTH CARE,"273 AZALEA ROAD, SUITE 104, BLDG 2",MOBILE,36609,2513800492,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5/23/77, 
AL,17024,SOUTHEAST ALABAMA HOMECARE,"810 HEDSTROM DRIVE, SUITE ONE",DOTHAN,36301,3347940591,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6/1/78, 
AL,17025,SAAD HEALTHCARE,"1515 UNIVERSITY BLVD, SOUTH",MOBILE,36609,2513439600,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12/28/78, 
AL,17026,GENTIVA HEALTH SERVICES,"2200 RIVERCHASE PARKWAY, BUILDING 700",BIRMINGHAM,35244,2057397800,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3/29/79, 
AL,17027,HGA HOMECARE OF DECATUR,"2708 HIGHWAY 31 SOUTH, SUITE B",DECATUR,35603,2563504182,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7/25/79, 
AL,17028,CENTRAL ALABAMA HOMECARE,345 WALKER CHAPEL PLAZA,FULTONDALE,35068,2057837900,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6/1/79, 
AL,17034,MERCY MEDICAL HOME HEALTH,374 SOUTH GREENO ROAD,FAIR HOPE,36532,2516214431,Religious Affiliations,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5/26/81, 
AL,17035,INFIRMARY HOMECARE OF MOBILE,"4358 MIDMOST DRIVE, SUITE A",MOBILE,36609,2514503300,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8/20/81, 
AL,17037,BAPTIST HOME HEALTH,"300 INTERSTATE PARK DRIVE, SUITE 312",MONTGOMERY,36109,3343955100,Proprietary,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,10/1/81, 
AL,17039,AMEDISYS HOME HEALTH OF HUNTSVILLE,"250 CHATEAU DRIVE SW, SUITE 245",HUNTSVILLE,35801,2569229919,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8/5/82, 
AL,17041,ALABAMA HOMECARE,"100 CENTERVIEW DRIVE, SUITE 260",VESTAVIA HILLS,35216,2059793180,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8/4/82, 
AL,17048,GENTIVA HEALTH SERVICES,101 NORTH LINCOLN STREET,GENEVA,36340,3346843919,Proprietary,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,12/8/83, 
AL,17050,SPECTRUM HOME HEALTH AGENCY,"1310 PULASKI PIKE, UNIT A",HUNTSVILLE,35816,2565394457,Proprietary,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,10/19/83, 
AL,17051,AMEDISYS HOME HEALTH LAKESHORE OF BIRMINGHAM,"2204 LAKESHORE DRIVE, SUITE 110",HOMEWOOD,35209,2058680147,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6/1/84, 
AL,17052,GENTIVA HEALTH SERVICES,1390 NORTH MCKENZIE STREET,FOLEY,36535,2519433002,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9/20/84, 
AL,17053,CARESOUTH HOMECARE PROFESSIONALS,"205 GRACELAND DRIVE, SUITE 3",DOTHAN,36305,3347935758,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8/20/84, 
AL,17054,GENTIVA HEALTH SERVICES,1108 EAST PARK DRIVE,BIRMINGHAM,35235,2058360777,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9/4/84, 
AL,17055,GENTIVA HEALTH SERVICES,1294-A EAST MAIN STREET,PRATTVILLE,36066,3343619806,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6/8/84, 
AL,17056,GENTIVA HEALTH SERVICES,"11123 CHANTILLY PARKWAY, UNIT L",PIKE ROAD,36064,3342701151,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12/3/84, 
AL,17058,GENTIVA HEALTH SERVICES,"9037 INDEPENDENCE AVENUE, SUITE B",DAPHNE,36526,2516210882,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10/25/84, 
AL,17063,INTREPID USA HEALTHCARE SERVICES,"3918 MONTCLAIR RD, SUITE 202",MOUNTAIN BROOK,35213,2058773403,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12/5/85, 
AL,17066,SPRINGHILL HOME HEALTH AND HOSPICE,10 MOBILE STREET,MOBILE,36607,2514338172,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2/24/86, 
AL,17067,INTREPID USA HEALTHCARE SERVICES,"4141 WALL STREET, SUITE 4141",MONTGOMERY,36106,3342707913,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5/9/86, 
AL,17069,AMEDISYS HOME HEALTH OF FOLEY,1809 N MCKENZIE STREET,FOLEY,36535,2519711436,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7/1/86, 
AL,17070,AMEDISYS HOME HEALTH OF CITRONELLE,"19375 NORTH 3RD STREET, SUITE 101",CITRONELLE,36522,2518663261,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7/1/86, 
AL,17071,GENTIVA HEALTH SERVICES,20 ALMON DRIVE SUITE C,MOULTON,35650,2057397800,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8/21/86, 
AL,17072,AMEDISYS HOME HEALTH OF GREENVILLE,525 GREENVILLE BYPASS,GREENVILLE,36037,3343822042,Proprietary,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,2/5/87, 
AL,17078,AMEDISYS HOME HEALTH OF REFORM,420 FIRST AVENUE WEST,REFORM,35481,2053759255,Proprietary,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,6/12/90, 
