"hospital","year","variable","value"
"knox county hospital",2000,"licensed_acute_beds",42
"lake cumberland regional hospital",2000,"licensed_acute_beds",161
"lincoln trail behavioral health",2000,"licensed_acute_beds",0
"livingston hosp and healthcare svcs",2000,"licensed_acute_beds",26
"logan memorial hospital",2000,"licensed_acute_beds",92
"lourdes hospital",2000,"licensed_acute_beds",292
"marcum and wallace memorial hosp",2000,"licensed_acute_beds",25
"marshall county hospital",2000,"licensed_acute_beds",46
"mary breckinridge hospital",2000,"licensed_acute_beds",40
"mary chiles hospital",2000,"licensed_acute_beds",56
"marymount hospital",2000,"licensed_acute_beds",76
"mcdowell arh hospital",2000,"licensed_acute_beds",50
"meadowview regional medical",2000,"licensed_acute_beds",101
"memorial hospital inc",2000,"licensed_acute_beds",47
"methodist hospital",2000,"licensed_acute_beds",177
"methodist hospital union county",2000,"licensed_acute_beds",37
"middlesboro arh hospital",2000,"licensed_acute_beds",96
"monroe county medical center",2000,"licensed_acute_beds",49
"morgan county arh hospital",2000,"licensed_acute_beds",20
"muhlenberg community hospital",2000,"licensed_acute_beds",90
"murray calloway county hospital",2000,"licensed_acute_beds",140
"nicholas county hospital",2000,"licensed_acute_beds",15
"northkey community care-intensive",2000,"licensed_acute_beds",0
"norton audubon hospital",2000,"licensed_acute_beds",432
"norton hsp/kosair chdrn hsp/norton",2000,"licensed_acute_beds",889
"norton southwest hospital",2000,"licensed_acute_beds",127
"norton spring view hospital",2000,"licensed_acute_beds",65
"norton suburban hospital",2000,"licensed_acute_beds",343
"ohio county hospital",2000,"licensed_acute_beds",49
"our lady of bellefonte hospital",2000,"licensed_acute_beds",174
"our lady of the way hospital",2000,"licensed_acute_beds",26
"owen county memorial hospital",2000,"licensed_acute_beds",30
"owensboro mercy health system",2000,"licensed_acute_beds",445
"parkway regional hospital",2000,"licensed_acute_beds",50
"pattie a clay hospital",2000,"licensed_acute_beds",105
"paul b hall regional medical center",2000,"licensed_acute_beds",72
"pikeville methodist hospital",2000,"licensed_acute_beds",199
"pineville community hospital",2000,"licensed_acute_beds",120
"regional medical ctr of hopkins co",2000,"licensed_acute_beds",348
"ridge behavioral health system",2000,"licensed_acute_beds",0
"rivendell behavioral health",2000,"licensed_acute_beds",0
"river valley behavioral health",2000,"licensed_acute_beds",0
"rockcastle hospital",2000,"licensed_acute_beds",26
"russell county hospital",2000,"licensed_acute_beds",45
"saint joseph east",2000,"licensed_acute_beds",166
"samaritan hospital",2000,"licensed_acute_beds",271
"shriners hosp for children",2000,"licensed_acute_beds",50
"st claire medical center",2000,"licensed_acute_beds",119
"st elizabeth med ctr-grant co",2000,"licensed_acute_beds",30
"st elizabeth medical center north",2000,"licensed_acute_beds",193
"st elizabeth medical center south",2000,"licensed_acute_beds",318
"st joseph hospital",2000,"licensed_acute_beds",400
"st luke hospital east",2000,"licensed_acute_beds",284
"st luke hospital west",2000,"licensed_acute_beds",131
"t j samson community hospital",2000,"licensed_acute_beds",165
"taylor county hospital",2000,"licensed_acute_beds",90
"ten broeck dupont *",2000,"licensed_acute_beds",0
"ten broeck hospital",2000,"licensed_acute_beds",0
"the james b haggin memorial",2000,"licensed_acute_beds",15
"the medical center at bowling",2000,"licensed_acute_beds",294
"the medical center at franklin",2000,"licensed_acute_beds",44
"the medical center at scottsville",2000,"licensed_acute_beds",52
"three rivers medical center",2000,"licensed_acute_beds",75
"tri-county baptist hospital",2000,"licensed_acute_beds",90
"trigg county hospital inc",2000,"licensed_acute_beds",25
"twin lakes regional medical ctr",2000,"licensed_acute_beds",75
"university of ky hospital",2000,"licensed_acute_beds",456
"university of louisville hospital",2000,"licensed_acute_beds",364
"vencor hospital-louisville",2000,"licensed_acute_beds",337
"wayne county hospital inc",2000,"licensed_acute_beds",30
"western baptist hospital",2000,"licensed_acute_beds",349
"western state hospital",2000,"licensed_acute_beds",0
"westlake regional hospital",2000,"licensed_acute_beds",49
"whitesburg arh hospital",2000,"licensed_acute_beds",90
"williamson arh hospital",2000,"licensed_acute_beds",98
"baptist hospital east",2001,"licensed_acute_beds",319
"baptist regional medical center",2001,"licensed_acute_beds",171
"berea hospital",2001,"licensed_acute_beds",48
"bluegrass community hospital",2001,"licensed_acute_beds",15
"bourbon community hospital",2001,"licensed_acute_beds",33
"breckinridge memorial hospital",2001,"licensed_acute_beds",27
"caldwell county hospital inc",2001,"licensed_acute_beds",48
"caritas medical center",2001,"licensed_acute_beds",298
"caritas peace center",2001,"licensed_acute_beds",0
"carroll county hospital",2001,"licensed_acute_beds",15
"casey county hospital",2001,"licensed_acute_beds",15
"caverna memorial hospital",2001,"licensed_acute_beds",30
"central baptist hospital",2001,"licensed_acute_beds",371
"central state hospital",2001,"licensed_acute_beds",0
"clark regional medical center",2001,"licensed_acute_beds",75
"clinton county hospital inc",2001,"licensed_acute_beds",42
"crittenden county hospital",2001,"licensed_acute_beds",48
"cumberland county hospital",2001,"licensed_acute_beds",31
"eastern state hospital",2001,"licensed_acute_beds",0
"ephraim mcdowell reg medical ctr",2001,"licensed_acute_beds",114
"fhc cumberland hall",2001,"licensed_acute_beds",0
"flaget memorial hospital",2001,"licensed_acute_beds",40
"fleming county hospital",2001,"licensed_acute_beds",52
"fort logan hospital",2001,"licensed_acute_beds",43
"frankfort regional medical center",2001,"licensed_acute_beds",161
"garrard county memorial hospital",2001,"licensed_acute_beds",15
"georgetown community hospital",2001,"licensed_acute_beds",65
"greenview regional hospital",2001,"licensed_acute_beds",211
"hardin memorial hospital",2001,"licensed_acute_beds",270
"harlan arh hospital",2001,"licensed_acute_beds",130
"harrison memorial hospital",2001,"licensed_acute_beds",61
"hazard arh regional medical center",2001,"licensed_acute_beds",188
"healthsouth rehab hospital of centr",2001,"licensed_acute_beds",40
"highlands regional medical ctr",2001,"licensed_acute_beds",154
"jackson purchase medical center",2001,"licensed_acute_beds",93
"jane todd crawford memorial hosp",2001,"licensed_acute_beds",22
"jenkins community hospital",2001,"licensed_acute_beds",60
"jennie stuart medical center inc",2001,"licensed_acute_beds",194
"jewish hospital",2001,"licensed_acute_beds",442
"jewish hospital shelbyville",2001,"licensed_acute_beds",68
"kentucky correctional psychiatric c",2001,"licensed_acute_beds",0
"kentucky river medical ctr",2001,"licensed_acute_beds",55
"kindred hospital - louisville",2001,"licensed_acute_beds",337
"kings daughters medical ctr",2001,"licensed_acute_beds",302
"knox county hospital",2001,"licensed_acute_beds",32
"lake cumberland regional hospital",2001,"licensed_acute_beds",161
"lincoln trail behavioral health syst",2001,"licensed_acute_beds",0
"livingston hosp and healthcare svcs",2001,"licensed_acute_beds",26
"logan memorial hospital",2001,"licensed_acute_beds",92
"lourdes hospital",2001,"licensed_acute_beds",286
"marcum and wallace memorial hosp",2001,"licensed_acute_beds",25
"marshall county hospital",2001,"licensed_acute_beds",46
"mary breckinridge hospital",2001,"licensed_acute_beds",40
"mary chiles hospital",2001,"licensed_acute_beds",56
"marymount hospital",2001,"licensed_acute_beds",89
"mcdowell arh hospital",2001,"licensed_acute_beds",50
"meadowview regional medical cente",2001,"licensed_acute_beds",101
"memorial hospital inc",2001,"licensed_acute_beds",47
"methodist hospital",2001,"licensed_acute_beds",177
"methodist hospital union county",2001,"licensed_acute_beds",25
"middlesboro arh hospital",2001,"licensed_acute_beds",96
"monroe county medical center",2001,"licensed_acute_beds",49
"morgan county arh hospital",2001,"licensed_acute_beds",20
"muhlenberg community hospital",2001,"licensed_acute_beds",90
"murray calloway county hospital",2001,"licensed_acute_beds",140
"new horizons health systems inc",2001,"licensed_acute_beds",25
"nicholas county hospital",2001,"licensed_acute_beds",18
"northkey community care-intensive s",2001,"licensed_acute_beds",0
"norton audubon hospital",2001,"licensed_acute_beds",432
"norton hsp/kosair chdrn hsp/norton",2001,"licensed_acute_beds",889
"norton southwest hospital",2001,"licensed_acute_beds",127
"norton spring view hospital",2001,"licensed_acute_beds",65
"norton suburban hospital",2001,"licensed_acute_beds",343
"ohio county hospital",2001,"licensed_acute_beds",49
"our lady of bellefonte hospital",2001,"licensed_acute_beds",174
"our lady of the way hospital",2001,"licensed_acute_beds",15
"owensboro mercy health system",2001,"licensed_acute_beds",415
"parkway regional hospital",2001,"licensed_acute_beds",50
"pattie a clay hospital",2001,"licensed_acute_beds",105
"paul b hall regional medical center",2001,"licensed_acute_beds",72
"pikeville methodist hospital",2001,"licensed_acute_beds",199
"pineville community hospital",2001,"licensed_acute_beds",120
"regional medical ctr of hopkins co",2001,"licensed_acute_beds",368
"ridge behavioral health system",2001,"licensed_acute_beds",0
"rivendell behavioral health service",2001,"licensed_acute_beds",0
"river valley behavioral health",2001,"licensed_acute_beds",0
"rockcastle hospital",2001,"licensed_acute_beds",26
"russell county hospital",2001,"licensed_acute_beds",45
"saint joseph east",2001,"licensed_acute_beds",166
"samaritan hospital",2001,"licensed_acute_beds",271
"shriners hosp for children",2001,"licensed_acute_beds",50
"st claire medical center",2001,"licensed_acute_beds",119
"st elizabeth med ctr-grant co",2001,"licensed_acute_beds",15
"st elizabeth medical center north",2001,"licensed_acute_beds",193
"st elizabeth medical center south",2001,"licensed_acute_beds",318
"st joseph hospital",2001,"licensed_acute_beds",400
"st luke hospital east",2001,"licensed_acute_beds",284
"st luke hospital west",2001,"licensed_acute_beds",131
"t j samson community hospital",2001,"licensed_acute_beds",165
"taylor county hospital",2001,"licensed_acute_beds",90
"ten broeck dupont",2001,"licensed_acute_beds",0
"ten broeck hospital",2001,"licensed_acute_beds",0
"the james b haggin memorial hospital",2001,"licensed_acute_beds",15
"the medical center at bowling green",2001,"licensed_acute_beds",294
"the medical center at franklin",2001,"licensed_acute_beds",44
"the medical center at scottsville",2001,"licensed_acute_beds",52
"three rivers medical center",2001,"licensed_acute_beds",75
"tri-county baptist hospital",2001,"licensed_acute_beds",90
"trigg county hospital inc",2001,"licensed_acute_beds",15
"twin lakes regional medical ctr",2001,"licensed_acute_beds",75
"university of ky hospital",2001,"licensed_acute_beds",456
"university of louisville hospital",2001,"licensed_acute_beds",364
"wayne county hospital inc",2001,"licensed_acute_beds",30
"western baptist hospital",2001,"licensed_acute_beds",349
"western state hospital",2001,"licensed_acute_beds",0
"westlake regional hospital",2001,"licensed_acute_beds",49
"whitesburg arh hospital",2001,"licensed_acute_beds",90
"williamson arh hospital",2001,"licensed_acute_beds",98
"baptist hospital east",2002,"licensed_acute_beds",342
"baptist hospital northeast",2002,"licensed_acute_beds",90
"baptist regional medical center",2002,"licensed_acute_beds",171
"berea hospital",2002,"licensed_acute_beds",48
"bluegrass community hospital",2002,"licensed_acute_beds",15
"bourbon community hospital",2002,"licensed_acute_beds",33
"breckinridge memorial hospital",2002,"licensed_acute_beds",27
"caldwell county hospital inc",2002,"licensed_acute_beds",48
"caritas medical center",2002,"licensed_acute_beds",298
"caritas peace center",2002,"licensed_acute_beds",0
"carroll county hospital",2002,"licensed_acute_beds",15
"casey county hospital",2002,"licensed_acute_beds",15
"caverna memorial hospital",2002,"licensed_acute_beds",25
"central baptist hospital",2002,"licensed_acute_beds",371
"central state hospital",2002,"licensed_acute_beds",0
"clark regional medical center",2002,"licensed_acute_beds",75
"clinton county hospital inc",2002,"licensed_acute_beds",42
"crittenden county hospital",2002,"licensed_acute_beds",48
"cumberland county hospital",2002,"licensed_acute_beds",31
"eastern state hospital",2002,"licensed_acute_beds",0
"ephraim mcdowell reg medical ctr",2002,"licensed_acute_beds",114
"fhc cumberland hall",2002,"licensed_acute_beds",0
"flaget memorial hospital",2002,"licensed_acute_beds",40
"fleming county hospital",2002,"licensed_acute_beds",52
"fort logan hospital",2002,"licensed_acute_beds",43
"frankfort regional medical center",2002,"licensed_acute_beds",163
"garrard county memorial hospital",2002,"licensed_acute_beds",14
"georgetown community hospital",2002,"licensed_acute_beds",65
"greenview regional hospital",2002,"licensed_acute_beds",211
"hardin memorial hospital",2002,"licensed_acute_beds",270
"harlan arh hospital",2002,"licensed_acute_beds",130
"harrison memorial hospital",2002,"licensed_acute_beds",61
"hazard arh regional medical center",2002,"licensed_acute_beds",188
"highlands regional medical ctr",2002,"licensed_acute_beds",154
"jackson purchase medical center",2002,"licensed_acute_beds",93
"jane todd crawford memorial hosp",2002,"licensed_acute_beds",22
"jenkins community hospital",2002,"licensed_acute_beds",60
"jennie stuart medical center inc",2002,"licensed_acute_beds",194
"jewish hospital",2002,"licensed_acute_beds",442
"jewish hospital shelbyville",2002,"licensed_acute_beds",68
"kentucky correctional psychiatric",2002,"licensed_acute_beds",0
"kentucky river medical ctr",2002,"licensed_acute_beds",55
"kindred hospital - louisville",2002,"licensed_acute_beds",337
"kings daughters medical ctr",2002,"licensed_acute_beds",302
"knox county hospital",2002,"licensed_acute_beds",42
"lake cumberland regional hospital",2002,"licensed_acute_beds",161
"lincoln trail behavioral health",2002,"licensed_acute_beds",0
"livingston hosp and healthcare svcs",2002,"licensed_acute_beds",26
"logan memorial hospital",2002,"licensed_acute_beds",92
"lourdes hospital",2002,"licensed_acute_beds",286
"marcum and wallace memorial hosp",2002,"licensed_acute_beds",25
"marshall county hospital",2002,"licensed_acute_beds",46
"mary breckinridge hospital",2002,"licensed_acute_beds",40
"mary chiles hospital",2002,"licensed_acute_beds",56
"marymount hospital",2002,"licensed_acute_beds",89
"mcdowell arh hospital",2002,"licensed_acute_beds",50
"meadowview regional medical center",2002,"licensed_acute_beds",101
"memorial hospital inc",2002,"licensed_acute_beds",47
"methodist hospital",2002,"licensed_acute_beds",177
"methodist hospital union county",2002,"licensed_acute_beds",25
"middlesboro arh hospital",2002,"licensed_acute_beds",96
"monroe county medical center",2002,"licensed_acute_beds",49
"morgan county arh hospital",2002,"licensed_acute_beds",20
"muhlenberg community hospital",2002,"licensed_acute_beds",90
"murray calloway county hospital",2002,"licensed_acute_beds",140
"new horizons health systems inc",2002,"licensed_acute_beds",25
"nicholas county hospital",2002,"licensed_acute_beds",15
"northkey community care-intensive",2002,"licensed_acute_beds",0
"norton audubon hospital",2002,"licensed_acute_beds",432
"norton hsp/kosair chdrn hsp/norton",2002,"licensed_acute_beds",889
"norton southwest hospital",2002,"licensed_acute_beds",127
"norton spring view hospital",2002,"licensed_acute_beds",65
"norton suburban hospital",2002,"licensed_acute_beds",380
"ohio county hospital",2002,"licensed_acute_beds",49
"our lady of bellefonte hospital",2002,"licensed_acute_beds",174
"our lady of the way hospital",2002,"licensed_acute_beds",16
"owensboro mercy health system",2002,"licensed_acute_beds",415
"parkway regional hospital",2002,"licensed_acute_beds",50
"pattie a clay hospital",2002,"licensed_acute_beds",105
"paul b hall regional medical center",2002,"licensed_acute_beds",72
"pikeville methodist hospital",2002,"licensed_acute_beds",199
"pineville community hospital",2002,"licensed_acute_beds",120
"regional medical ctr of hopkins co",2002,"licensed_acute_beds",348
"ridge behavioral health system",2002,"licensed_acute_beds",0
"rivendell behavioral health services",2002,"licensed_acute_beds",0
"river valley behavioral health",2002,"licensed_acute_beds",0
"rockcastle hospital",2002,"licensed_acute_beds",26
"russell county hospital",2002,"licensed_acute_beds",45
"saint joseph east",2002,"licensed_acute_beds",166
"saint joseph hospital",2002,"licensed_acute_beds",400
"samaritan hospital",2002,"licensed_acute_beds",271
"shriners hosp for children",2002,"licensed_acute_beds",50
"st claire medical center",2002,"licensed_acute_beds",119
"st elizabeth med ctr-grant co",2002,"licensed_acute_beds",15
"st elizabeth medical center north",2002,"licensed_acute_beds",193
"st elizabeth medical center south",2002,"licensed_acute_beds",318
"st luke hospital east",2002,"licensed_acute_beds",284
"st luke hospital west",2002,"licensed_acute_beds",131
"t j samson community hospital",2002,"licensed_acute_beds",165
"taylor county hospital",2002,"licensed_acute_beds",90
"ten broeck dupont",2002,"licensed_acute_beds",0
"ten broeck hospital",2002,"licensed_acute_beds",0
"the james b haggin memorial hospital",2002,"licensed_acute_beds",15
"the medical center at bowling green",2002,"licensed_acute_beds",294
"the medical center at franklin",2002,"licensed_acute_beds",44
"the medical center at scottsville",2002,"licensed_acute_beds",52
"three rivers medical center",2002,"licensed_acute_beds",71
"trigg county hospital inc",2002,"licensed_acute_beds",15
"twin lakes regional medical ctr",2002,"licensed_acute_beds",75
"university of ky hospital",2002,"licensed_acute_beds",456
"university of louisville hospital",2002,"licensed_acute_beds",364
"wayne county hospital inc",2002,"licensed_acute_beds",30
"western baptist hospital",2002,"licensed_acute_beds",349
"western state hospital",2002,"licensed_acute_beds",0
"westlake regional hospital",2002,"licensed_acute_beds",49
"whitesburg arh hospital",2002,"licensed_acute_beds",90
"williamson arh hospital",2002,"licensed_acute_beds",98
"baptist hospital east",2003,"licensed_acute_beds",342
"baptist hospital northeast",2003,"licensed_acute_beds",90
"baptist regional medical center",2003,"licensed_acute_beds",171
"berea hospital",2003,"licensed_acute_beds",48
"bluegrass community hospital",2003,"licensed_acute_beds",15
"bourbon community hospital",2003,"licensed_acute_beds",33
"breckinridge memorial hospital",2003,"licensed_acute_beds",15
"caldwell county hospital inc",2003,"licensed_acute_beds",48
"caritas medical center",2003,"licensed_acute_beds",298
"caritas peace center",2003,"licensed_acute_beds",0
"carroll county hospital",2003,"licensed_acute_beds",15
"casey county hospital",2003,"licensed_acute_beds",15
"caverna memorial hospital",2003,"licensed_acute_beds",25
"central baptist hospital",2003,"licensed_acute_beds",371
"central state hospital",2003,"licensed_acute_beds",0
"clark regional medical center",2003,"licensed_acute_beds",75
"clinton county hospital inc",2003,"licensed_acute_beds",42
"crittenden county hospital",2003,"licensed_acute_beds",48
"cumberland county hospital",2003,"licensed_acute_beds",15
"eastern state hospital",2003,"licensed_acute_beds",0
"ephraim mcdowell reg medical ctr",2003,"licensed_acute_beds",124
"fhc cumberland hall",2003,"licensed_acute_beds",0
"flaget memorial hospital",2003,"licensed_acute_beds",40
"fleming county hospital",2003,"licensed_acute_beds",52
"fort logan hospital",2003,"licensed_acute_beds",25
"frankfort regional medical center",2003,"licensed_acute_beds",173
"garrard county memorial hospital",2003,"licensed_acute_beds",15
"georgetown community hospital",2003,"licensed_acute_beds",65
"greenview regional hospital",2003,"licensed_acute_beds",211
"hardin memorial hospital",2003,"licensed_acute_beds",270
"harlan arh hospital",2003,"licensed_acute_beds",130
"harrison memorial hospital",2003,"licensed_acute_beds",61
"hazard arh regional medical center",2003,"licensed_acute_beds",188
"highlands regional medical ctr",2003,"licensed_acute_beds",154
"jackson purchase medical center",2003,"licensed_acute_beds",107
"jane todd crawford memorial hosp",2003,"licensed_acute_beds",22
"jenkins community hospital",2003,"licensed_acute_beds",60
"jennie stuart medical center inc",2003,"licensed_acute_beds",194
"jewish hospital",2003,"licensed_acute_beds",442
"jewish hospital shelbyville",2003,"licensed_acute_beds",64
"kentucky correctional psychiatric ctr",2003,"licensed_acute_beds",0
"kentucky river medical ctr",2003,"licensed_acute_beds",55
"kindred hospital - louisville",2003,"licensed_acute_beds",337
"kings daughters medical ctr",2003,"licensed_acute_beds",304
"knox county hospital",2003,"licensed_acute_beds",32
"lake cumberland regional hospital",2003,"licensed_acute_beds",161
"lincoln trail behavioral health system",2003,"licensed_acute_beds",0
"livingston hosp and healthcare svcs inc",2003,"licensed_acute_beds",26
"logan memorial hospital",2003,"licensed_acute_beds",92
"lourdes hospital",2003,"licensed_acute_beds",286
"marcum and wallace memorial hosp",2003,"licensed_acute_beds",15
"marshall county hospital",2003,"licensed_acute_beds",46
"mary breckinridge hospital",2003,"licensed_acute_beds",15
"mary chiles hospital",2003,"licensed_acute_beds",56
"marymount hospital",2003,"licensed_acute_beds",89
"mcdowell arh hospital",2003,"licensed_acute_beds",50
"meadowview regional medical center",2003,"licensed_acute_beds",101
"memorial hospital inc",2003,"licensed_acute_beds",63
"methodist hospital",2003,"licensed_acute_beds",177
"methodist hospital union county",2003,"licensed_acute_beds",25
"middlesboro arh hospital",2003,"licensed_acute_beds",96
"monroe county medical center",2003,"licensed_acute_beds",49
"morgan county arh hospital",2003,"licensed_acute_beds",15
"muhlenberg community hospital",2003,"licensed_acute_beds",90
"murray calloway county hospital",2003,"licensed_acute_beds",140
"new horizons medical center",2003,"licensed_acute_beds",15
"nicholas county hospital",2003,"licensed_acute_beds",15
"northkey community care-intensive services",2003,"licensed_acute_beds",0
"norton audubon hospital",2003,"licensed_acute_beds",432
"norton hsp/kosair chdrn hsp/norton med pav",2003,"licensed_acute_beds",895
"norton southwest hospital",2003,"licensed_acute_beds",127
"norton suburban hospital",2003,"licensed_acute_beds",343
"ohio county hospital",2003,"licensed_acute_beds",49
"our lady of bellefonte hospital",2003,"licensed_acute_beds",174
"our lady of the way hospital",2003,"licensed_acute_beds",15
"owensboro mercy health system",2003,"licensed_acute_beds",415
"parkway regional hospital",2003,"licensed_acute_beds",50
"pattie a clay regional medical ctr.",2003,"licensed_acute_beds",105
"paul b hall regional medical center",2003,"licensed_acute_beds",72
"pikeville methodist hospital",2003,"licensed_acute_beds",221
"pineville community hospital",2003,"licensed_acute_beds",120
"regional medical ctr of hopkins co",2003,"licensed_acute_beds",348
"ridge behavioral health system",2003,"licensed_acute_beds",0
"rivendell behavioral health services",2003,"licensed_acute_beds",0
"river valley behavioral health",2003,"licensed_acute_beds",0
"rockcastle hospital",2003,"licensed_acute_beds",26
"russell county hospital",2003,"licensed_acute_beds",45
"saint joseph east",2003,"licensed_acute_beds",166
"saint joseph hospital",2003,"licensed_acute_beds",446
"samaritan hospital",2003,"licensed_acute_beds",271
"shriners hosp for children",2003,"licensed_acute_beds",50
"spring view hospital",2003,"licensed_acute_beds",65
"st claire medical center",2003,"licensed_acute_beds",119
"st elizabeth med ctr-grant co",2003,"licensed_acute_beds",15
"st elizabeth medical center north",2003,"licensed_acute_beds",193
"st elizabeth medical center south",2003,"licensed_acute_beds",318
"st luke hospital east",2003,"licensed_acute_beds",284
"st luke hospital west",2003,"licensed_acute_beds",139
"t j samson community hospital",2003,"licensed_acute_beds",165
"taylor county hospital",2003,"licensed_acute_beds",90
"ten broeck dupont",2003,"licensed_acute_beds",0
"ten broeck hospital",2003,"licensed_acute_beds",0
"the james b haggin memorial hospital",2003,"licensed_acute_beds",15
"the medical center at bowling green",2003,"licensed_acute_beds",294
"the medical center at franklin",2003,"licensed_acute_beds",15
"the medical center at scottsville",2003,"licensed_acute_beds",47
"three rivers medical center",2003,"licensed_acute_beds",71
"trigg county hospital inc",2003,"licensed_acute_beds",15
"twin lakes regional medical ctr",2003,"licensed_acute_beds",75
"university of ky hospital",2003,"licensed_acute_beds",456
"university of louisville hospital",2003,"licensed_acute_beds",364
"wayne county hospital inc",2003,"licensed_acute_beds",30
"western baptist hospital",2003,"licensed_acute_beds",349
"western state hospital",2003,"licensed_acute_beds",0
"westlake regional hospital",2003,"licensed_acute_beds",15
"whitesburg arh hospital",2003,"licensed_acute_beds",90
"williamson arh hospital",2003,"licensed_acute_beds",113
"baptist hospital east",2004,"licensed_acute_beds",356
"baptist hospital northeast",2004,"licensed_acute_beds",90
"baptist regional medical center",2004,"licensed_acute_beds",146
"berea hospital",2004,"licensed_acute_beds",48
"bourbon community hospital",2004,"licensed_acute_beds",33
"caritas medical center",2004,"licensed_acute_beds",298
"caritas peace center",2004,"licensed_acute_beds",0
"central baptist hospital",2004,"licensed_acute_beds",371
"central state hospital",2004,"licensed_acute_beds",0
"clark regional medical center",2004,"licensed_acute_beds",75
"clinton county  hospital inc",2004,"licensed_acute_beds",42
"crittenden county hospital",2004,"licensed_acute_beds",48
"eastern state hospital",2004,"licensed_acute_beds",0
"ephraim mcdowell reg medical ctr",2004,"licensed_acute_beds",124
"fhc cumberland hall",2004,"licensed_acute_beds",0
"flaget memorial hospital",2004,"licensed_acute_beds",40
"fleming county hospital",2004,"licensed_acute_beds",52
"frankfort regional medical center",2004,"licensed_acute_beds",173
"georgetown community hospital",2004,"licensed_acute_beds",75
"greenview regional hospital",2004,"licensed_acute_beds",211
"hardin memorial hospital",2004,"licensed_acute_beds",270
"harlan arh hospital",2004,"licensed_acute_beds",130
"harrison memorial hospital",2004,"licensed_acute_beds",61
"hazard arh regional medical center",2004,"licensed_acute_beds",188
"highlands regional medical center",2004,"licensed_acute_beds",154
"jackson purchase medical center",2004,"licensed_acute_beds",107
"jane todd crawford memorial hospital",2004,"licensed_acute_beds",22
"jenkins community hospital",2004,"licensed_acute_beds",60
"jennie stuart medical center inc",2004,"licensed_acute_beds",194
"jewish hospital",2004,"licensed_acute_beds",412
"jewish hospital shelbyville",2004,"licensed_acute_beds",70
"kentucky  river medical center",2004,"licensed_acute_beds",55
"kentucky correctional psychiatric ctr",2004,"licensed_acute_beds",0
"kindred hospital - louisville",2004,"licensed_acute_beds",337
"kings daughters medical center",2004,"licensed_acute_beds",315
"knox county hospital",2004,"licensed_acute_beds",42
"lake cumberland regional hospital",2004,"licensed_acute_beds",161
"lincoln trail behavioral health system",2004,"licensed_acute_beds",0
"logan memorial hospital",2004,"licensed_acute_beds",92
"lourdes hospital",2004,"licensed_acute_beds",286
"marshall county hospital",2004,"licensed_acute_beds",46
"mary  chiles hospital",2004,"licensed_acute_beds",56
"marymount hospital",2004,"licensed_acute_beds",89
"mcdowell arh hospital",2004,"licensed_acute_beds",50
"meadowview regional medical center",2004,"licensed_acute_beds",101
"memorial hospital inc",2004,"licensed_acute_beds",63
"methodist hospital",2004,"licensed_acute_beds",184
"middlesboro arh hospital",2004,"licensed_acute_beds",96
"monroe county medical center",2004,"licensed_acute_beds",49
"muhlenberg community hospital",2004,"licensed_acute_beds",90
"murray calloway  county hospital",2004,"licensed_acute_beds",140
"northkey community care-intensive services",2004,"licensed_acute_beds",0
"norton audubon hospital",2004,"licensed_acute_beds",432
